==28560== NVPROF is profiling process 28560, command: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28560== Profiling application: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Profiling result:
==28560== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","findRangeK",1,"inst_per_warp","Instructions per warp",232.801917,232.801917,232.801917
"GeForce GTX 1080 (0)","findRangeK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","findRangeK",1,"warp_execution_efficiency","Warp Execution Efficiency",96.385631%,96.385631%,96.385631%
"GeForce GTX 1080 (0)","findRangeK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",93.982196%,93.982196%,93.982196%
"GeForce GTX 1080 (0)","findRangeK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000214,0.000214,0.000214
"GeForce GTX 1080 (0)","findRangeK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findRangeK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findRangeK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findRangeK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findRangeK",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.639727,5.639727,5.639727
"GeForce GTX 1080 (0)","findRangeK",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.588235,0.588235,0.588235
"GeForce GTX 1080 (0)","findRangeK",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"gld_transactions","Global Load Transactions",5515416,5515416,5515416
"GeForce GTX 1080 (0)","findRangeK",1,"gst_transactions","Global Store Transactions",60000,60000,60000
"GeForce GTX 1080 (0)","findRangeK",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 (0)","findRangeK",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 (0)","findRangeK",1,"l2_read_transactions","L2 Read Transactions",2246295,2246295,2246295
